Gene	Lenth	Location1	Location2	GC
LINC00339	6035	chr1:22351681	chr1:22357716	0.47
CDC42	40317	chr1:22379120	chr1:22419437	0.42
RP1-224A6.9	747	chr1:22427106	chr1:22427853	0.43
WNT4	26664	chr1:22443798	chr1:22470462	0.58
ZBTB40	79306	chr1:22778344	chr1:22857650	0.43
EPHA8	40030	chr1:22890057	chr1:22930087	0.57
C1QA	3102	chr1:22962999	chr1:22966101	0.57
C1QC	4480	chr1:22970123	chr1:22974603	0.55
C1QB	8776	chr1:22979255	chr1:22988031	0.51
EPHB2	204486	chr1:23037332	chr1:23241818	0.52
RP11-69E9.1	1136	chr1:23162206	chr1:23163342	0.54
RP1-74M1.3	4818	chr1:23243175	chr1:23247993	0.53
LACTBL1	12295	chr1:23279536	chr1:23291831	0.52
C1orf234	5016	chr1:23337327	chr1:23342343	0.46
KDM1A	64241	chr1:23345941	chr1:23410182	0.39
RP1-184J9.2	67911	chr1:23346640	chr1:23414551	0.39
LUZP1	93785	chr1:23410516	chr1:23504301	0.43
HTR1D	4229	chr1:23516993	chr1:23521222	0.48
RP5-1057J7.6	5443	chr1:23607802	chr1:23613245	0.36
HNRNPR	40565	chr1:23630264	chr1:23670829	0.39
ZNF436	9994	chr1:23685941	chr1:23695935	0.46
C1orf213	2842	chr1:23695490	chr1:23698332	0.52
RP5-1057J7.7	649	chr1:23704873	chr1:23705522	0.45
TCEA3	43679	chr1:23707554	chr1:23751233	0.49
ASAP3	56005	chr1:23755056	chr1:23811061	0.50
E2F2	24790	chr1:23832922	chr1:23857712	0.52
RP1-150O5.3	1776	chr1:23875630	chr1:23877406	0.46
ID3	1876	chr1:23884409	chr1:23886285	0.57
MDS2	59073	chr1:23907985	chr1:23967058	0.50
RPL11	4646	chr1:24018269	chr1:24022915	0.46
TCEB3	18904	chr1:24069645	chr1:24088549	0.46
RP5-886K2.3	17905	chr1:24086872	chr1:24104777	0.46
PITHD1	9827	chr1:24104895	chr1:24114722	0.45
LYPLA2	4569	chr1:24117460	chr1:24122029	0.62
GALE	5182	chr1:24122089	chr1:24127271	0.60
HMGCL	36735	chr1:24128375	chr1:24165110	0.47
FUCA1	23217	chr1:24171567	chr1:24194784	0.46
CNR2	88533	chr1:24197016	chr1:24285549	0.46
RP11-4M23.3	774	chr1:24233601	chr1:24234375	0.48
PNRC2	4353	chr1:24285599	chr1:24289952	0.44
SRSF10	16123	chr1:24291294	chr1:24307417	0.39
RP11-293P20.2	45964	chr1:24367325	chr1:24413289	0.49
MYOM3	56140	chr1:24382525	chr1:24438665	0.53
RP11-293P20.4	16791	chr1:24393264	chr1:24410055	0.50
IL22RA1	23350	chr1:24446261	chr1:24469611	0.48
IFNLR1	33802	chr1:24480647	chr1:24514449	0.47
RP11-10N16.2	11453	chr1:24526730	chr1:24538183	0.50
RP11-10N16.3	14345	chr1:24634046	chr1:24648391	0.47
GRHL3	45160	chr1:24645812	chr1:24690972	0.51
STPG1	59935	chr1:24683489	chr1:24743424	0.44
NIPAL3	57182	chr1:24742284	chr1:24799466	0.45
RCAN3	38143	chr1:24829387	chr1:24867530	0.42
RP4-594I10.3	17223	chr1:24865292	chr1:24882515	0.45
NCMAP	53217	chr1:24882602	chr1:24935819	0.48
SRRM1	41551	chr1:24958207	chr1:24999758	0.42
CLIC4	98967	chr1:25071848	chr1:25170815	0.42
RUNX3	65610	chr1:25226002	chr1:25291612	0.55
RP11-84D1.1	1752	chr1:25287836	chr1:25289588	0.53
RP11-84D1.2	2442	chr1:25294914	chr1:25297356	0.55
RP4-799D16.1	69413	chr1:25370198	chr1:25439611	0.51
RP4-706G24.1	730	chr1:25534630	chr1:25535360	0.38
SYF2	9823	chr1:25549170	chr1:25558993	0.44
C1orf63	95976	chr1:25568728	chr1:25664704	0.46
RP3-465N24.6	484	chr1:25574328	chr1:25574812	0.53
RHD	58052	chr1:25598884	chr1:25656936	0.47
TMEM50A	24444	chr1:25664408	chr1:25688852	0.42
RHCE	67943	chr1:25688740	chr1:25756683	0.47
TMEM57	69312	chr1:25757388	chr1:25826700	0.41
LDLRAP1	25306	chr1:25870071	chr1:25895377	0.55
RP11-70P17.1	8878	chr1:25907969	chr1:25916847	0.51
MAN1C1	168739	chr1:25943959	chr1:26112698	0.49
RP1-187B23.1	14567	chr1:25971035	chr1:25985602	0.51
SEPN1	18046	chr1:26126667	chr1:26144713	0.57
RP1-317E23.6	12274	chr1:26137961	chr1:26150235	0.56
RP1-317E23.3	3023	chr1:26143240	chr1:26146263	0.53
MTFR1L	14301	chr1:26145131	chr1:26159432	0.49
AL020996.1	2076	chr1:26145212	chr1:26147288	0.62
RP1-317E23.7	221	chr1:26158404	chr1:26158625	0.45
AUNIP	27489	chr1:26158414	chr1:26185903	0.42
RP1-125I3.2	3807	chr1:26186104	chr1:26189911	0.51
PAQR7	10043	chr1:26187701	chr1:26197744	0.51
STMN1	22810	chr1:26210672	chr1:26233482	0.48
PAFAH2	38390	chr1:26286258	chr1:26324648	0.46
EXTL1	16580	chr1:26346375	chr1:26362955	0.55
SLC30A2	8881	chr1:26363743	chr1:26372624	0.56
TRIM63	17132	chr1:26377795	chr1:26394927	0.50
PDIK1L	14370	chr1:26437664	chr1:26452034	0.43
FAM110D	3608	chr1:26485511	chr1:26489119	0.60
ZNF593	2189	chr1:26496362	chr1:26498551	0.62
RP11-96L14.7	1874	chr1:26496438	chr1:26498312	0.61
CNKSR1	12483	chr1:26503894	chr1:26516377	0.55
CATSPER4	12407	chr1:26517052	chr1:26529459	0.51
CEP85	44608	chr1:26560691	chr1:26605299	0.45
SH3BGRL3	2340	chr1:26605667	chr1:26608007	0.62
UBXN11	37035	chr1:26607819	chr1:26644854	0.53
CD52	2566	chr1:26644448	chr1:26647014	0.55
AIM1L	32271	chr1:26648350	chr1:26680621	0.52
ZNF683	12888	chr1:26688125	chr1:26701013	0.52
LIN28A	18944	chr1:26737269	chr1:26756213	0.47
DHDDS	39012	chr1:26758773	chr1:26797785	0.45
RP3-476K8.3	4526	chr1:26789247	chr1:26793773	0.46
HMGN2	3522	chr1:26798941	chr1:26802463	0.48
RPS6KA1	45269	chr1:26856252	chr1:26901521	0.54
RP5-968P14.2	1999	chr1:27018623	chr1:27020622	0.51
ARID1A	86071	chr1:27022524	chr1:27108595	0.46
PIGV	10926	chr1:27113963	chr1:27124889	0.48
ZDHHC18	30892	chr1:27153201	chr1:27184093	0.52
SFN	1314	chr1:27189633	chr1:27190947	0.63
RP1-50O24.6	2112	chr1:27202624	chr1:27204736	0.47
GPN2	14164	chr1:27202624	chr1:27216788	0.49
GPATCH3	9978	chr1:27216979	chr1:27226957	0.50
NUDC	46624	chr1:27226729	chr1:27273353	0.48
NR0B2	2477	chr1:27237980	chr1:27240457	0.53
C1orf172	10844	chr1:27276053	chr1:27286897	0.51
TRNP1	7191	chr1:27320198	chr1:27327389	0.56
FAM46B	7816	chr1:27331511	chr1:27339327	0.56
SLC9A1	68166	chr1:27425306	chr1:27493472	0.52
RP11-40H20.4	5246	chr1:27555597	chr1:27560843	0.47
WDTC1	74103	chr1:27561007	chr1:27635110	0.47
TMEM222	14240	chr1:27648651	chr1:27662891	0.52
SYTL1	11908	chr1:27668513	chr1:27680421	0.58
MAP3K6	11708	chr1:27681675	chr1:27693383	0.61
FCN3	5712	chr1:27695603	chr1:27701315	0.54
CD164L2	4204	chr1:27705666	chr1:27709870	0.60
GPR3	3170	chr1:27719148	chr1:27722318	0.58
WASF2	85939	chr1:27730730	chr1:27816669	0.44
RP4-752I6.1	2384	chr1:27783709	chr1:27786093	0.44
RP1-159A19.4	4756	chr1:27852316	chr1:27857072	0.59
AHDC1	70396	chr1:27860546	chr1:27930942	0.56
FGR	23213	chr1:27938575	chr1:27961788	0.53
RP11-288L9.1	2394	chr1:27986839	chr1:27989233	0.49
IFI6	6157	chr1:27992572	chr1:27998729	0.50
RP11-288L9.4	808	chr1:27995979	chr1:27996787	0.46
FAM76A	37143	chr1:28052490	chr1:28089633	0.43
STX12	51269	chr1:28099694	chr1:28150963	0.41
PPP1R8	20898	chr1:28157289	chr1:28178187	0.44
AL109927.1	170	chr1:28177085	chr1:28177255	0.43
THEMIS2	14141	chr1:28199055	chr1:28213196	0.54
RPA2	23222	chr1:28218035	chr1:28241257	0.44
SMPDL3B	24164	chr1:28261504	chr1:28285668	0.50
RP11-460I13.2	21318	chr1:28265386	chr1:28286704	0.51
XKR8	8634	chr1:28285973	chr1:28294607	0.56
EYA3	118352	chr1:28296855	chr1:28415207	0.40
PTAFR	46770	chr1:28473677	chr1:28520447	0.48
DNAJC8	33569	chr1:28525967	chr1:28559536	0.43
AL353354.1	139	chr1:28527013	chr1:28527152	0.42
AL353354.2	349	chr1:28527070	chr1:28527419	0.49
ATPIF1	10797	chr1:28562620	chr1:28573417	0.44
RP5-1092A3.4	1944	chr1:28566020	chr1:28567964	0.42
RP5-1092A3.5	424	chr1:28573655	chr1:28574079	0.56
SESN2	22964	chr1:28586038	chr1:28609002	0.50
MED18	6963	chr1:28655513	chr1:28662476	0.46
PHACTR4	130767	chr1:28696114	chr1:28826881	0.43
RCC1	33357	chr1:28832455	chr1:28865812	0.50
TRNAU1AP	25454	chr1:28879597	chr1:28905051	0.48
SNHG12	4445	chr1:28905050	chr1:28909495	0.51
TAF12	53762	chr1:28915835	chr1:28969597	0.47
RAB42	3243	chr1:28918712	chr1:28921955	0.58
RP11-442N24__B.1	5353	chr1:28969740	chr1:28975093	0.48
RNU11	133	chr1:28975112	chr1:28975245	0.52
GMEB1	50621	chr1:28995244	chr1:29045865	0.46
YTHDF2	33154	chr1:29063133	chr1:29096287	0.44
OPRD1	51554	chr1:29138654	chr1:29190208	0.50
RP1-212P9.2	3692	chr1:29194087	chr1:29197779	0.51
RP1-212P9.3	6853	chr1:29196995	chr1:29203848	0.49
EPB41	232950	chr1:29213603	chr1:29446553	0.42
TMEM200B	4507	chr1:29445940	chr1:29450447	0.65
RP11-242O24.3	2500	chr1:29471006	chr1:29473506	0.47
SRSF4	34244	chr1:29474255	chr1:29508499	0.43
RP11-242O24.5	502	chr1:29479001	chr1:29479503	0.49
MECR	38069	chr1:29519385	chr1:29557454	0.48
RP11-467D18.2	883	chr1:29550445	chr1:29551328	0.48
PTPRU	90297	chr1:29563028	chr1:29653325	0.52
RP3-437I16.1	20494	chr1:29656132	chr1:29676626	0.48
RP4-656G21.1	696	chr1:30181698	chr1:30182394	0.54
RP11-111I12.1	23660	chr1:30486799	chr1:30510459	0.43
RP5-893G23.1	1344	chr1:30613110	chr1:30614454	0.53
RP4-591L5.1	2078	chr1:30882407	chr1:30884485	0.54
RP4-591L5.2	5283	chr1:30888672	chr1:30893955	0.53
MATN1	12310	chr1:31184124	chr1:31196434	0.56
MATN1-AS1	8323	chr1:31191351	chr1:31199674	0.56
LAPTM5	25351	chr1:31205316	chr1:31230667	0.53
RP5-1125N11.1	5175	chr1:31283225	chr1:31288400	0.47
RP1-65J11.1	10056	chr1:31297075	chr1:31307131	0.46
RP1-65J11.5	2096	chr1:31331005	chr1:31333101	0.52
SDC3	39294	chr1:31342314	chr1:31381608	0.56
PUM1	134485	chr1:31404353	chr1:31538838	0.41
NKAIN1	59809	chr1:31652592	chr1:31712401	0.50
SNRNP40	37245	chr1:31732417	chr1:31769662	0.42
ZCCHC17	67941	chr1:31769842	chr1:31837783	0.42
RP11-266K22.2	13732	chr1:31805914	chr1:31819646	0.41
FABP3	11225	chr1:31838472	chr1:31849697	0.51
SERINC2	25113	chr1:31882412	chr1:31907525	0.53
AC114494.1	422	chr1:31902192	chr1:31902614	0.58
RP11-439L8.3	2326	chr1:31971841	chr1:31974167	0.54
RP11-439L8.4	5810	chr1:31984036	chr1:31989846	0.46
RP11-73M7.1	3988	chr1:32037186	chr1:32041174	0.53
TINAGL1	11172	chr1:32042116	chr1:32053288	0.55
HCRTR1	14832	chr1:32083287	chr1:32098119	0.55
PEF1	15034	chr1:32095463	chr1:32110497	0.48
RP11-73M7.6	15889	chr1:32109650	chr1:32125539	0.51
RP11-73M7.9	4677	chr1:32110295	chr1:32114972	0.48
COL16A1	52072	chr1:32117848	chr1:32169920	0.56
BAI2	37776	chr1:32192718	chr1:32230494	0.59
RP11-84A19.3	2192	chr1:32254731	chr1:32256923	0.58
SPOCD1	25629	chr1:32256023	chr1:32281652	0.49
RP11-84A19.2	13549	chr1:32307620	chr1:32321169	0.47
RP11-84A19.4	69928	chr1:32317514	chr1:32387442	0.43
PTP4A2	38435	chr1:32372022	chr1:32410457	0.42
AL136115.1	1571	chr1:32379174	chr1:32380745	0.37
RP4-534N18.2	955	chr1:32398621	chr1:32399576	0.43
KHDRBS1	47021	chr1:32479430	chr1:32526451	0.44
RP11-277A4.4	21183	chr1:32517892	chr1:32539075	0.48
TMEM39B	30835	chr1:32537632	chr1:32568467	0.49
KPNA6	68530	chr1:32573639	chr1:32642169	0.44
TXLNA	18599	chr1:32645287	chr1:32663886	0.50
CCDC28B	5001	chr1:32665987	chr1:32670988	0.55
RP4-622L5.7	2045	chr1:32670370	chr1:32672415	0.59
IQCC	3052	chr1:32671236	chr1:32674288	0.56
DCDC2B	7102	chr1:32674695	chr1:32681797	0.53
TMEM234	7899	chr1:32680073	chr1:32687972	0.51
EIF3I	9676	chr1:32687529	chr1:32697205	0.51
FAM167B	1623	chr1:32712834	chr1:32714457	0.60
LCK	34926	chr1:32716840	chr1:32751766	0.50
HDAC1	41549	chr1:32757687	chr1:32799236	0.47
MARCKSL1	2547	chr1:32799433	chr1:32801980	0.64
RP4-811H24.9	1469	chr1:32814795	chr1:32816264	0.53
TSSK3	12791	chr1:32817122	chr1:32829913	0.55
FAM229A	3008	chr1:32826871	chr1:32829879	0.61
BSDC1	29628	chr1:32830704	chr1:32860332	0.48
RP1-27O5.3	135735	chr1:32930658	chr1:33066393	0.45
ZBTB8B	31617	chr1:32930670	chr1:32962287	0.45
ZBTB8A	66512	chr1:33005028	chr1:33071540	0.43
ZBTB8OS	50731	chr1:33065773	chr1:33116504	0.44
RBBP4	35069	chr1:33116743	chr1:33151812	0.43
SYNC	23690	chr1:33145507	chr1:33169197	0.48
RP11-114B7.6	7503	chr1:33183335	chr1:33190838	0.53
KIAA1522	33085	chr1:33207486	chr1:33240571	0.54
YARS	42914	chr1:33240840	chr1:33283754	0.46
S100PBP	42108	chr1:33282368	chr1:33324476	0.41
FNDC5	10214	chr1:33327869	chr1:33338083	0.54
HPCA	12447	chr1:33351595	chr1:33364042	0.57
TMEM54	6844	chr1:33360195	chr1:33367039	0.57
RNF19B	28240	chr1:33402046	chr1:33430286	0.44
FKSG48	374	chr1:33439268	chr1:33439642	0.51
RP1-117O3.2	45394	chr1:33452676	chr1:33498070	0.46
AK2	73012	chr1:33473585	chr1:33546597	0.46
ADC	39426	chr1:33546705	chr1:33586131	0.46
TRIM62	36657	chr1:33611003	chr1:33647660	0.52
ZNF362	44174	chr1:33722146	chr1:33766320	0.51
RP11-415J8.7	468	chr1:33726813	chr1:33727281	0.48
A3GALT2	14332	chr1:33772367	chr1:33786699	0.54
RP11-415J8.3	18677	chr1:33772967	chr1:33791644	0.53
PHC2	107429	chr1:33789224	chr1:33896653	0.45
RP11-415J8.5	12893	chr1:33815953	chr1:33828846	0.46
ZSCAN20	23861	chr1:33938246	chr1:33962107	0.43
CSMD2	651834	chr1:33979609	chr1:34631443	0.45
HMGB4	4316	chr1:34326076	chr1:34330392	0.45
RP5-1007G16.1	16505	chr1:34334554	chr1:34351059	0.45
C1orf94	52248	chr1:34632484	chr1:34684732	0.48
SMIM12	147079	chr1:35178338	chr1:35325417	0.48
GJB5	3465	chr1:35220648	chr1:35224113	0.54
GJB4	3983	chr1:35225342	chr1:35229325	0.56
RP1-34M23.5	26671	chr1:35227027	chr1:35253698	0.51
GJB3	5180	chr1:35246790	chr1:35251970	0.57
GJA4	2749	chr1:35258599	chr1:35261348	0.59
RP5-997D16.2	861	chr1:35316295	chr1:35317156	0.47
DLGAP3	64149	chr1:35331037	chr1:35395186	0.49
RP11-244H3.4	50208	chr1:35447134	chr1:35497342	0.40
ZMYM6NB	3818	chr1:35447136	chr1:35450954	0.52
ZMYM6	48046	chr1:35449523	chr1:35497569	0.40
ZMYM1	56073	chr1:35525387	chr1:35581460	0.42
SFPQ	16770	chr1:35641979	chr1:35658749	0.42
ZMYM4	153091	chr1:35734568	chr1:35887659	0.39
ZMYM4-AS1	7255	chr1:35824423	chr1:35831678	0.36
KIAA0319L	124460	chr1:35899091	chr1:36023551	0.42
NCDN	9801	chr1:36023074	chr1:36032875	0.58
RP4-728D4.2	7916	chr1:36035414	chr1:36043330	0.57
TFAP2E	21958	chr1:36038971	chr1:36060929	0.53
PSMB2	40260	chr1:36067185	chr1:36107445	0.41
C1orf216	5597	chr1:36179476	chr1:36185073	0.54
CLSPN	49749	chr1:36185819	chr1:36235568	0.43
RP11-435D7.3	4187	chr1:36204990	chr1:36209177	0.42
AGO4	49718	chr1:36273773	chr1:36323491	0.42
AGO1	59802	chr1:36335409	chr1:36395211	0.45
RP4-789D17.5	395	chr1:36395321	chr1:36395716	0.32
AGO3	141782	chr1:36396319	chr1:36538101	0.39
RP4-665N4.8	21521	chr1:36457710	chr1:36479231	0.38
TEKT2	4200	chr1:36549676	chr1:36553876	0.58
ADPRHL2	5057	chr1:36554476	chr1:36559533	0.55
COL8A2	29984	chr1:36560837	chr1:36590821	0.56
TRAPPC3	12925	chr1:36602173	chr1:36615098	0.47
MAP7D1	25270	chr1:36621180	chr1:36646450	0.55
THRAP3	80941	chr1:36690017	chr1:36770958	0.44
SH3D21	18496	chr1:36771988	chr1:36790484	0.54
EVA1B	2123	chr1:36787632	chr1:36789755	0.70
RP11-268J15.5	5487	chr1:36789335	chr1:36794822	0.53
STK40	46272	chr1:36805225	chr1:36851497	0.52
LSM10	6654	chr1:36856839	chr1:36863493	0.51
OSCP1	34658	chr1:36881428	chr1:36916086	0.45
MRPS15	8719	chr1:36921319	chr1:36930038	0.49
CSF3R	17235	chr1:36931644	chr1:36948879	0.53
RP4-614N24.1	2628	chr1:37238741	chr1:37241369	0.49
GRIK3	238602	chr1:37261128	chr1:37499730	0.50
RP5-1180C18.1	62361	chr1:37728340	chr1:37790701	0.50
LINC01137	19532	chr1:37920480	chr1:37940012	0.47
ZC3H12A	9827	chr1:37940153	chr1:37949980	0.59
MEAF6	22199	chr1:37958176	chr1:37980375	0.43
SNIP1	19853	chr1:38000050	chr1:38019903	0.43
DNALI1	9938	chr1:38022520	chr1:38032458	0.49
GNL2	29119	chr1:38032417	chr1:38061536	0.43
RSPO1	23644	chr1:38076951	chr1:38100595	0.53
C1orf109	10672	chr1:38147242	chr1:38157914	0.48
CDCA8	17301	chr1:38158090	chr1:38175391	0.46
EPHA10	51253	chr1:38179552	chr1:38230805	0.50
MANEAL	7335	chr1:38259474	chr1:38266809	0.55
RP11-109P14.9	1159	chr1:38265392	chr1:38266551	0.55
YRDC	5241	chr1:38268616	chr1:38273857	0.49
C1orf122	2475	chr1:38272651	chr1:38275126	0.63
MTF1	50053	chr1:38275239	chr1:38325292	0.44
AL929472.1	1654	chr1:38292232	chr1:38293886	0.40
RP11-109P14.10	883	chr1:38326369	chr1:38327252	0.47
INPP5B	86360	chr1:38326369	chr1:38412729	0.47
SF3A3	33946	chr1:38422647	chr1:38456593	0.45
FHL3	8836	chr1:38462442	chr1:38471278	0.57
UTP11L	15566	chr1:38474930	chr1:38490496	0.45
POU3F1	2927	chr1:38509523	chr1:38512450	0.63
RP5-884C9.2	71711	chr1:38512986	chr1:38584697	0.50
RP11-214L19.1	5733	chr1:38674706	chr1:38680439	0.51
RP11-329N22.1	1288	chr1:38940868	chr1:38942156	0.52
RRAGC	21625	chr1:39303870	chr1:39325495	0.41
RP5-864K19.4	59396	chr1:39325672	chr1:39385068	0.43
MYCBP	18653	chr1:39328636	chr1:39347289	0.44
GJA9	17114	chr1:39330175	chr1:39347289	0.44
RHBDL2	55992	chr1:39351479	chr1:39407471	0.45
AKIRIN1	14836	chr1:39456895	chr1:39471731	0.44
NDUFS5	8318	chr1:39491990	chr1:39500308	0.47
MACF1	405861	chr1:39546988	chr1:39952849	0.43
RP11-420K8.1	7811	chr1:39715510	chr1:39723321	0.41
KIAA0754	6003	chr1:39876151	chr1:39882154	0.49
BMP8A	34289	chr1:39957318	chr1:39991607	0.55
RP11-69E11.4	23907	chr1:39987952	chr1:40011859	0.49
PABPC4	15974	chr1:40026488	chr1:40042462	0.47
RP11-69E11.8	8043	chr1:40030832	chr1:40038875	0.45
HEYL	15792	chr1:40089825	chr1:40105617	0.52
RP1-144F13.3	487	chr1:40099088	chr1:40099575	0.53
NT5C1A	12917	chr1:40124793	chr1:40137710	0.52
HPCAL4	13041	chr1:40144320	chr1:40157361	0.53
PPIE	71732	chr1:40157854	chr1:40229586	0.45
BMP8B	31679	chr1:40222854	chr1:40254533	0.56
OXCT2	1825	chr1:40235195	chr1:40237020	0.63
RP1-118J21.25	1195	chr1:40254648	chr1:40255843	0.64
TRIT1	42460	chr1:40306723	chr1:40349183	0.42
MYCL	6830	chr1:40361098	chr1:40367928	0.54
RP1-118J21.5	1353	chr1:40363417	chr1:40364770	0.49
MFSD2A	14836	chr1:40420802	chr1:40435638	0.54
CAP1	32416	chr1:40505905	chr1:40538321	0.43
PPT1	24996	chr1:40538379	chr1:40563375	0.44
RLF	79548	chr1:40627045	chr1:40706593	0.40
TMCO2	5744	chr1:40711619	chr1:40717363	0.43
RP1-39G22.7	1540	chr1:40722099	chr1:40723639	0.40
ZMPSTE24	36077	chr1:40723779	chr1:40759856	0.41
COL9A2	17329	chr1:40766159	chr1:40783488	0.57
SMAP2	78476	chr1:40810522	chr1:40888998	0.42
ZFP69B	13616	chr1:40915774	chr1:40929390	0.42
ZFP69	19128	chr1:40942887	chr1:40962015	0.41
RP11-656D10.3	15504	chr1:40958829	chr1:40974333	0.42
EXO5	7815	chr1:40974413	chr1:40982228	0.44
RP11-656D10.5	596	chr1:40980133	chr1:40980729	0.45
RP11-656D10.6	1420	chr1:40981426	chr1:40982846	0.40
ZNF684	16608	chr1:40997233	chr1:41013841	0.40
RIMS3	44978	chr1:41086351	chr1:41131329	0.51
RP4-739H11.3	18499	chr1:41134761	chr1:41153260	0.45
NFYC-AS1	1686	chr1:41156052	chr1:41157738	0.50
NFYC	79955	chr1:41157320	chr1:41237275	0.43
KCNQ4	56440	chr1:41249684	chr1:41306124	0.55
CITED4	1289	chr1:41326729	chr1:41328018	0.74
RP5-1066H13.4	12756	chr1:41329586	chr1:41342342	0.46
CTPS1	33228	chr1:41445007	chr1:41478235	0.45
SLFNL1	7640	chr1:41481269	chr1:41488909	0.57
SCMH1	214954	chr1:41492872	chr1:41707826	0.40
RP11-399E6.1	42488	chr1:41708045	chr1:41750533	0.45
FOXO6	21668	chr1:41827594	chr1:41849262	0.58
RP11-399E6.4	665	chr1:41840676	chr1:41841341	0.48
EDN2	5898	chr1:41944446	chr1:41950344	0.57
HIVEP3	529560	chr1:41972036	chr1:42501596	0.46
RP11-486B10.3	425	chr1:42001114	chr1:42001539	0.52
GUCA2B	2403	chr1:42619092	chr1:42621495	0.60
GUCA2A	2027	chr1:42628362	chr1:42630389	0.58
FOXJ3	159338	chr1:42642210	chr1:42801548	0.39
RIMKLA	41783	chr1:42846466	chr1:42888249	0.44
ZMYND12	25938	chr1:42896000	chr1:42921938	0.43
PPCS	17268	chr1:42921788	chr1:42939056	0.42
CCDC30	191334	chr1:42929001	chr1:43120335	0.39
PPIH	18333	chr1:43124096	chr1:43142429	0.44
RP5-994D16.3	2919	chr1:43144406	chr1:43147325	0.44
YBX1	19922	chr1:43148098	chr1:43168020	0.40
CLDN19	7161	chr1:43198764	chr1:43205925	0.60
LEPRE1	20749	chr1:43212006	chr1:43232755	0.50
C1orf50	31028	chr1:43232940	chr1:43263968	0.46
RP5-994D16.9	977	chr1:43241484	chr1:43242461	0.44
CCDC23	10231	chr1:43272723	chr1:43282954	0.41
ERMAP	27865	chr1:43282795	chr1:43310660	0.43
RP11-342M1.3	11741	chr1:43300352	chr1:43312093	0.43
ZNF691	5868	chr1:43312280	chr1:43318148	0.47
SLC2A1	33478	chr1:43391052	chr1:43424530	0.53
SLC2A1-AS1	24309	chr1:43424720	chr1:43449029	0.49
FAM183A	11243	chr1:43610824	chr1:43622067	0.44
EBNA1BP2	106761	chr1:43629846	chr1:43736607	0.44
WDR65	82209	chr1:43637820	chr1:43720029	0.44
TMEM125	4008	chr1:43735665	chr1:43739673	0.58
C1orf210	3734	chr1:43747554	chr1:43751288	0.54
TIE1	22115	chr1:43766664	chr1:43788779	0.55
MPL	14965	chr1:43803478	chr1:43818443	0.48
RP1-92O14.3	3974	chr1:43820355	chr1:43824329	0.47
CDC20	4248	chr1:43824626	chr1:43828874	0.52
ELOVL1	4628	chr1:43829068	chr1:43833696	0.59
MED8	5891	chr1:43849588	chr1:43855479	0.47
RP1-92O14.6	4042	chr1:43850784	chr1:43854826	0.46
SZT2	62768	chr1:43855553	chr1:43918321	0.50
SZT2-AS1	868	chr1:43913447	chr1:43914315	0.61
HYI	2836	chr1:43916824	chr1:43919660	0.60
HYI-AS1	3068	chr1:43919598	chr1:43922666	0.41
PTPRF	98485	chr1:43990858	chr1:44089343	0.56
KDM4A	55357	chr1:44115829	chr1:44171186	0.47
KDM4A-AS1	8373	chr1:44165436	chr1:44173809	0.51
ST3GAL3	225336	chr1:44171495	chr1:44396831	0.44
RP11-184I16.4	17951	chr1:44175063	chr1:44193014	0.44
ARTN	3921	chr1:44398992	chr1:44402913	0.64
RP11-7O11.3	2181	chr1:44410042	chr1:44412223	0.50
IPO13	21083	chr1:44412611	chr1:44433694	0.52
DPH2	3369	chr1:44435672	chr1:44439041	0.56
ATP6V0B	3808	chr1:44440159	chr1:44443967	0.57
B4GALT2	12225	chr1:44444615	chr1:44456840	0.57
CCDC24	5169	chr1:44457031	chr1:44462200	0.58
SLC6A9	39967	chr1:44457172	chr1:44497139	0.56
RP5-1198O20.4	68849	chr1:44501798	chr1:44570647	0.44
KLF17	16290	chr1:44584522	chr1:44600812	0.45
DMAP1	7226	chr1:44679127	chr1:44686353	0.52
ERI3	134190	chr1:44686742	chr1:44820932	0.48
RNF220	246530	chr1:44870866	chr1:45117396	0.47
TMEM53	39317	chr1:45100910	chr1:45140227	0.52
C1orf228	50899	chr1:45140364	chr1:45191263	0.48
KIF2C	27949	chr1:45205490	chr1:45233439	0.49
RP11-269F19.2	16773	chr1:45224709	chr1:45241482	0.50
RPS8	3528	chr1:45240923	chr1:45244451	0.55
BEST4	4120	chr1:45249257	chr1:45253377	0.59
PLK3	5765	chr1:45265897	chr1:45271662	0.60
TCTEX1D4	1372	chr1:45271585	chr1:45272957	0.64
BTBD19	7103	chr1:45274154	chr1:45281257	0.56
PTCH2	23219	chr1:45285516	chr1:45308735	0.53
EIF2B3	135832	chr1:45316450	chr1:45452282	0.43
HECTD3	8789	chr1:45468212	chr1:45477001	0.57
UROD	3428	chr1:45477819	chr1:45481247	0.52
ZSWIM5	289810	chr1:45482071	chr1:45771881	0.41
HPDL	1802	chr1:45792545	chr1:45794347	0.61
MUTYH	11307	chr1:45794835	chr1:45806142	0.51
TOE1	4305	chr1:45805342	chr1:45809647	0.54
TESK2	147317	chr1:45809555	chr1:45956872	0.42
CCDC163P	6213	chr1:45959538	chr1:45965751	0.51
MMACHC	11014	chr1:45965725	chr1:45976739	0.49
PRDX1	12011	chr1:45976708	chr1:45988719	0.47
AKR1A1	19506	chr1:46016215	chr1:46035721	0.49
NASP	35048	chr1:46049518	chr1:46084566	0.43
CCDC17	4013	chr1:46085716	chr1:46089729	0.58
GPBP1L1	60809	chr1:46092976	chr1:46153785	0.41
